Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
"Myrtle Av (J,M,Z)",,B,"11,801","13,222","12,122","11,970","4,821","5,348",527,10.9%,136,,,,,,,,
Myrtle-Willoughby Avs (G),,B,"5,889","5,743","5,736","5,919","2,473","2,955",482,19.5%,252,,,,,,,,
"Myrtle-Wyckoff Avs (L,M)",,B,"19,673","22,434","21,241","18,735","8,404","10,038","1,634",19.4%,56,,,,,,,,
Nassau Av (G),,B,"9,150","9,105","9,312","9,841","3,691","4,647",956,25.9%,166,,,,,,,,
Neck Rd (Q),,B,"4,354","4,441","4,405","4,401","1,834","2,077",243,13.2%,325,,,,,,,,
Neptune Av (F),,B,"1,742","1,658","1,516","1,456",652,777,125,19.1%,411,,,,,,,,
"Nevins St (2,3,4,5)",,B,"10,716","10,699","10,426","10,205","3,824","4,164",340,8.9%,181,,,,,,,,
New Lots Av (3),,B,"6,855","6,087","5,573","5,454","2,554","2,652",99,3.9%,277,,,,,,,,
New Lots Av (L),,B,"5,431","5,290","4,869","4,168","2,020","2,209",189,9.3%,314,,,,,,,,
New Utrecht Av (N)/62 St (D),27,B,"5,602","5,217","4,673","4,736","2,264","2,814",551,24.3%,260,,,,,,,,
"Newkirk Av (2,5)",,B,"7,840","7,600","7,312","7,182","3,286","3,697",412,12.5%,199,,,,,,,,
"Newkirk Plaza (B,Q)",,B,"10,842","10,728","10,534","10,514","4,380","5,305",925,21.1%,138,,,,,,,,
"Norwood Av (J,Z)",,B,"3,613","3,437","3,190","3,156","1,447","1,522",75,5.2%,367,,,,,,,,
Nostrand Av (3),,B,"4,239","4,066","3,907","4,195","1,568","1,846",278,17.8%,342,,,,,,,,
"Nostrand Av (A,C)",,B,"18,231","18,035","17,437","17,352","6,687","8,121","1,434",21.4%,73,,,,,,,,
Ocean Pkwy (Q),,B,"3,211","3,251","3,199","3,242","1,434","1,671",237,16.5%,355,,,,,,,,
Park Pl (S),,B,"1,850","1,818","1,725","1,676",682,804,122,17.9%,410,,,,,,,,
Parkside Av (Q),,B,"5,524","5,898","6,050","6,173","2,652","3,159",507,19.1%,237,,,,,,,,
Pennsylvania Av (3),28,B,"2,485","3,503","4,331","4,493","2,087","2,294",207,9.9%,308,,,,,,,,
"President St (2,5)",,B,"4,114","4,113","4,019","3,558","1,444","1,818",373,25.9%,346,,,,,,,,
Prospect Av (R),29,B,"5,842","3,199","5,523","5,967","2,222","2,828",606,27.3%,259,,,,,,,,
"Prospect Park (B,Q,S)",,B,"9,995","10,234","10,059","10,152","3,902","4,765",863,22.1%,161,,,,,,,,
Ralph Av (C),,B,"5,801","5,936","5,768","5,730","2,525","2,713",188,7.5%,269,,,,,,,,
Rockaway Av (3),30,B,"5,122","5,642","4,747","4,780","2,294","2,467",173,7.5%,291,,,,,,,,
Rockaway Av (C),,B,"5,678","5,715","5,667","5,653","2,434","2,628",194,8.0%,280,,,,,,,,
Saratoga Av (3),31,B,"4,006","5,777","5,246","5,238","2,547","2,760",213,8.4%,262,,,,,,,,
"Sheepshead Bay (B,Q)",,B,"14,477","14,311","13,946","13,908","5,830","6,693",863,14.8%,96,,,,,,,,
Shepherd Av (C),,B,"3,393","3,337","3,182","3,153","1,436","1,511",74,5.2%,368,,,,,,,,
"Smith-9 Sts (F,G)",,B,"4,861","4,714","4,689","4,553","1,921","2,243",322,16.8%,310,,,,,,,,
"Sterling St. (2,5)",,B,"5,806","5,795","5,684","5,468","2,371","2,879",508,21.4%,257,,,,,,,,
Sutter Av (L),,B,"4,688","4,471","4,029","3,446","1,583","1,713",130,8.2%,352,,,,,,,,
Sutter Av-Rutland Rd (3),32,B,"6,785","3,449","6,657","6,724","3,178","3,422",243,7.7%,224,,,,,,,,
Union St (R),,B,"6,512","6,395","6,835","7,375","2,582","3,348",765,29.6%,228,,,,,,,,
"Utica Av (A,C)",,B,"16,060","16,408","16,121","15,957","6,473","6,989",516,8.0%,88,,,,,,,,
Van Siclen Av (3),33,B,"4,194","3,660","2,904","2,833","1,314","1,335",21,1.6%,379,,,,,,,,
Van Siclen Av (C),,B,"3,224","3,259","3,021","2,920","1,378","1,400",22,1.6%,375,,,,,,,,
"Van Siclen Av (J,Z)",,B,"3,067","2,900","2,678","2,614","1,315","1,473",158,12.0%,370,,,,,,,,
"West 8 St-New York Aquarium (F,Q)",,B,"2,421","2,404","2,469","2,471","1,013","1,285",272,26.9%,388,,,,,,,,
Wilson Av (L),34,B,"3,812","4,564","4,468","4,292","1,868","2,310",442,23.6%,306,,,,,,,,
"Winthrop St (2,5)",,B,"7,272","7,317","7,262","6,499","3,244","4,001",756,23.3%,187,,,,,,,,
York St (F),,B,"10,246","10,373","11,032","12,638","4,055","4,758",703,17.3%,162,,,,,,,,
Manhattan,,,,,,,,,,,,,,,,,,,
1 Av (L),,M,"23,195","21,823","20,998","18,393","6,992","11,477","4,485",64.1%,43,,,,,,,,
103 St (1),,M,"13,246","12,818","12,569","12,005","4,488","5,699","1,211",27.0%,123,,,,,,,,
103 St (6),35,M,"13,994","14,337","13,285","13,218","5,955","6,897",943,15.8%,92,,,,,,,,
"103 St (B,C)",,M,"4,776","4,674","5,444","4,724","1,805","2,186",381,21.1%,318,,,,,,,,
110 St (6),,M,"13,341","11,932","10,851","10,580","4,647","5,513",866,18.6%,129,,,,,,,,
"116 St (2,3)",,M,"12,090","11,553","10,707","10,592","4,246","4,939",692,16.3%,148,,,,,,,,
116 St (6),,M,"16,707","15,899","14,715","14,394","6,366","7,390","1,024",16.1%,82,,,,,,,,
"116 St (B,C)",,M,"7,417","7,232","7,613","7,249","2,822","3,346",523,18.5%,229,,,,,,,,
116 St-Columbia University (1),,M,"15,861","15,263","15,079","14,777","4,277","5,814","1,537",35.9%,119,,,,,,,,
125 St (1),,M,"7,794","7,584","7,679","7,599","2,973","3,677",703,23.7%,204,,,,,,,,
"125 St (2,3)",,M,"15,719","15,692","14,746","14,703","5,644","6,422",778,13.8%,105,,,,,,,,
"125 St (4,5,6)",,M,"30,024","29,065","27,605","27,231","11,469","11,943",474,4.1%,39,,,,,,,,
"125 St (A,B,C,D)",,M,"29,423","28,680","27,677","28,267","11,888","13,324","1,436",12.1%,30,,,,,,,,
"135 St (2,3)",,M,"15,446","15,023","14,343","13,799","5,856","6,412",556,9.5%,106,,,,,,,,
"135 St (B,C)",,M,"5,785","5,770","5,490","5,657","2,173","2,433",259,11.9%,295,,,,,,,,
137 St-City College (1),,M,"14,460","14,049","13,371","12,464","5,073","5,763",690,13.6%,122,,,,,,,,
"14 St (A,C,E)/8 Av (L)",,M,"44,680","43,434","44,031","44,370","13,887","17,710","3,823",27.5%,19,,,,,,,,
"14 St (F,M,1,2,3)/6 Av (L)",,M,"50,692","48,565","48,508","46,363","15,417","18,555","3,139",20.4%,17,,,,,,,,
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",,M,"106,718","107,141","103,572","101,832","33,624","39,138","5,514",16.4%,4,,,,,,,,
145 St (1),,M,"10,039","9,863","9,433","9,219","3,981","4,840",859,21.6%,155,,,,,,,,
145 St (3),36,M,"3,590","3,540","2,105","3,193","1,428","1,614",186,13.0%,360,,,,,,,,
"145 St (A,B,C,D)",,M,"24,604","23,932","23,047","22,937","9,415","10,513","1,098",11.7%,48,,,,,,,,
"155 St (B,D)",,M,"4,052","3,804","3,595","3,556","1,711","1,837",126,7.4%,345,,,,,,,,
155 St (C),,M,"2,733","2,715","3,168","2,732","1,119","1,259",140,12.5%,390,,,,,,,,
157 St (1),,M,"10,928","10,802","11,036","12,042","4,515","5,420",906,20.1%,132,,,,,,,,
163 St-Amsterdam Av (C),37,M,"4,513","4,436","1,711","4,289","1,898","2,079",181,9.6%,324,,,,,,,,
"168 St (A,C,1)",38,M,"25,879","25,589","26,138","20,079","10,386","12,957","2,570",24.7%,31,,,,,,,,
175 St (A),,M,"13,377","13,217","12,580","13,144","5,203","6,270","1,068",20.5%,112,,,,,,,,
18 St (1),,M,"8,903","8,680","8,860","8,843","2,615","2,995",380,14.5%,249,,,,,,,,
181 St (1),39,M,"11,578","11,693","11,342","11,311","5,469",348,"-5,122",-93.6%,419,,,,,,,,
181 St (A),,M,"11,294","10,981","10,760","10,542","4,216","6,319","2,103",49.9%,110,,,,,,,,
190 St (A),,M,"4,748","4,719","4,574","4,805","1,751","1,466",-285,-16.3%,371,,,,,,,,
191 St (1),40,M,"8,545","8,419","8,032","7,525","1,463","4,612","3,148",215.2%,167,,,,,,,,
2 Av (F),,M,"17,059","16,675","15,995","16,703","5,524","7,189","1,666",30.2%,85,,,,,,,,
207 St (1),,M,"6,562","6,524","6,349","5,890","2,811","3,215",404,14.4%,235,,,,,,,,
215 St (1),,M,"2,001","1,988","1,787","1,718",681,868,187,27.5%,407,,,,,,,,
23 St (1),,M,"15,062","14,763","15,470","14,824","4,861","5,583",722,14.8%,127,,,,,,,,
23 St (6),,M,"29,452","28,479","31,597","30,031","9,104","9,909",806,8.8%,58,,,,,,,,
"23 St (C,E)",,M,"24,569","24,161","24,397","23,890","7,820","9,310","1,490",19.0%,62,,,,,,,,
"23 St (F,M)",41,M,"31,078","30,758","18,416","28,776","9,987","10,426",439,4.4%,50,,,,,,,,
"23 St (R,W)",,M,"26,693","25,007","26,381","23,398","6,557","7,231",674,10.3%,84,,,,,,,,
28 St (1),,M,"15,253","14,740","14,797","15,083","4,520","5,068",548,12.1%,143,,,,,,,,
28 St (6),42,M,"24,130","23,081","12,019","19,766","7,449","8,264",816,10.9%,71,,,,,,,,
"28 St (R,W)",,M,"13,680","13,256","14,302","13,144","3,877","4,260",382,9.9%,176,,,,,,,,
3 Av (L),,M,"7,179","6,934","6,749","5,725","2,387","3,198",811,34.0%,236,,,,,,,,
33 St (6),,M,"32,153","30,040","32,608","30,368","10,326","11,930","1,603",15.5%,40,,,,,,,,
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",,M,"125,682","127,664","126,576","125,498","40,615","45,739","5,124",12.6%,2,,,,,,,,
34 St-Hudson Yards (7),,M,"8,507","10,082","10,789","18,875","6,590","8,608","2,018",30.6%,68,,,,,,,,
"34 St-Penn Station (1,2,3)",,M,"90,524","85,585","85,180","84,975","25,861","27,237","1,376",5.3%,10,,,,,,,,
"34 St-Penn Station (A,C,E)",,M,"82,584","78,904","80,346","82,855","26,148","30,078","3,931",15.0%,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"47-50 Sts-Rockefeller Center (B,D,F,M)",,M,"62,283","61,478","61,027","63,609","19,902","20,526",624,3.1%,15,,,,,,,,
"49 St (N,R,W)",,M,"27,077","26,519","25,911","23,854","6,287","7,569","1,281",20.4%,79,,,,,,,,
"5 Av-53 St (E,M)",,M,"26,566","25,746","27,612","27,934","7,693","8,229",536,7.0%,72,,,,,,,,
"5 Av-59 St (N,R,W)",,M,"18,637","16,871","16,638","15,854","5,229","6,483","1,254",24.0%,102,,,,,,,,
50 St (1),,M,"26,362","25,932","26,268","26,712","7,018","7,595",577,8.2%,78,,,,,,,,
"50 St (C,E)",,M,"20,921","20,502","19,757","21,223","6,370","7,920","1,550",24.3%,75,,,,,,,,
57 St (F),43,M,"15,768","15,154","7,638","14,254","4,585","5,390",804,17.5%,134,,,,,,,,
"57 St-7 Av (N,Q,R,W)",,M,"30,311","35,390","37,870","35,078","10,983","12,144","1,161",10.6%,37,,,,,,,,
"59 St-Columbus Circle (A,B,C,D,1)",,M,"73,836","73,105","73,003","72,959","23,848","28,407","4,559",19.1%,8,,,,,,,,
66 St-Lincoln Center (1),,M,"24,064","22,918","22,890","22,949","6,800","7,845","1,045",15.4%,76,,,,,,,,
68 St-Hunter College (6),,M,"35,068","24,456","22,757","23,430","8,641","10,343","1,702",19.7%,52,,,,,,,,
"7 Av (B,D,E)",,M,"17,538","17,334","17,947","18,475","5,195","5,591",396,7.6%,126,,,,,,,,
"72 St (1,2,3)",,M,"40,450","38,957","39,477","38,061","13,667","16,985","3,318",24.3%,20,,,,,,,,
"72 St (B,C)",44,M,"9,448","8,803","4,472","8,651","2,925","4,102","1,177",40.3%,182,,,,,,,,
72 St (Q),,M,,"28,145","30,253","31,585","12,496","15,649","3,153",25.2%,24,,,,,,,,
77 St (6),,M,"36,103","27,584","25,369","25,996","10,574","13,676","3,102",29.3%,28,,,,,,,,
79 St (1),,M,"16,372","15,698","15,175","14,918","5,183","6,975","1,792",34.6%,89,,,,,,,,
"8 St-New York University (R,W)",,M,"18,305","16,994","17,192","16,870","4,703","5,875","1,173",24.9%,117,,,,,,,,
"81 St-Museum of Natural History (B,C)",,M,"14,140","13,313","15,383","13,420","3,873","5,469","1,596",41.2%,130,,,,,,,,
86 St. (1),,M,"19,757","18,882","19,325","18,221","6,520","8,469","1,948",29.9%,69,,,,,,,,
"86 St. (4,5,6)",,M,"64,793","45,882","43,169","43,282","16,528","20,762","4,234",25.6%,13,,,,,,,,
"86 St. (B,C)",45,M,"11,809","10,681","6,007","10,652","3,910","4,955","1,046",26.7%,147,,,,,,,,
86 St (Q),,M,,"23,722","25,455","26,307","9,083","10,833","1,750",19.3%,46,,,,,,,,
"96 St (1,2,3)",,M,"38,859","37,043","36,026","35,617","13,247","16,526","3,279",24.8%,22,,,,,,,,
96 St (6),,M,"26,939","18,983","17,447","17,432","7,437","8,978","1,541",20.7%,63,,,,,,,,
"96 St (B,C)",,M,"10,425","9,733","9,924","10,059","3,938","4,824",886,22.5%,157,,,,,,,,
96 St (Q),,M,,"17,150","19,318","19,704","7,525","8,652","1,128",15.0%,66,,,,,,,,
Astor Place (6),,M,"16,806","16,377","16,031","17,180","5,161","6,291","1,130",21.9%,111,,,,,,,,
"Bowery (J,Z)",,M,"3,504","3,715","3,738","3,842","1,284","1,549",265,20.6%,365,,,,,,,,
"Bowling Green (4,5)",,M,"31,522","29,395","28,646","28,664","8,623","8,649",26,0.3%,67,,,,,,,,
"Broad St (J,Z)",,M,"7,279","7,130","7,050","7,710","2,453","2,441",-12,-0.5%,294,,,,,,,,
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,M,"39,058","37,986","36,493","38,527","12,349","15,578","3,230",26.2%,25,,,,,,,,
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,M,"34,352","31,804","30,932","30,961","9,217","10,392","1,174",12.7%,51,,,,,,,,
Canal St (1),,M,"6,116","5,996","6,410","6,830","1,866","1,943",77,4.1%,337,,,,,,,,
"Canal St (A,C,E)",,M,"19,660","19,789","20,424","21,206","6,407","6,963",557,8.7%,90,,,,,,,,
"Canal St (J,N,Q,R,W,Z,6)",,M,"45,030","47,601","47,034","47,629","14,626","17,929","3,303",22.6%,18,,,,,,,,
Cathedral Pkwy-110 St (1),,M,"12,926","12,394","12,526","11,826","4,380","5,768","1,388",31.7%,120,,,,,,,,
"Cathedral Pkwy-110 St (B,C)",46,M,"7,553","7,523","3,785","7,382","2,919","3,684",765,26.2%,201,,,,,,,,
"Central Park North-110 St (2,3)",,M,"9,855","9,233","8,815","8,470","3,257","3,694",438,13.4%,200,,,,,,,,
"Chambers St (1,2,3)",,M,"23,574","22,419","21,303","20,613","5,990","6,351",360,6.0%,109,,,,,,,,
"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)",,M,"67,906","70,356","72,396","71,970","20,193","20,530",337,1.7%,14,,,,,,,,
Christopher St-Sheridan Sq (1),,M,"9,792","9,570","9,675","10,089","3,067","4,387","1,319",43.0%,173,,,,,,,,
"City Hall (R,W)",,M,"6,766","7,731","6,657","6,050","1,874","2,084",209,11.2%,323,,,,,,,,
"Delancey St (F)/Essex St (J,M,Z)",,M,"25,625","24,993","24,562","26,685","10,038","12,795","2,757",27.5%,32,,,,,,,,
Dyckman St (1),,M,"7,297","7,231","7,002","6,624","3,326","3,656",330,9.9%,206,,,,,,,,
Dyckman St (A),,M,"6,874","6,739","6,477","6,874","2,854","3,305",451,15.8%,231,,,,,,,,
East Broadway (F),,M,"14,654","14,365","13,868","13,995","5,146","6,371","1,225",23.8%,108,,,,,,,,
Franklin St (1),,M,"5,984","5,809","5,943","5,370","1,676","1,949",274,16.3%,335,,,,,,,,
"Fulton St (A,C,J,Z,2,3,4,5)",,M,"85,440","91,771","92,990","94,607","29,602","30,710","1,108",3.7%,5,,,,,,,,
"Grand Central-42 St (S,4,5,6,7)",,M,"158,580","154,711","155,345","157,273","44,778","45,220",442,1.0%,3,,,,,,,,
"Grand St (B,D)",,M,"24,649","24,460","23,422","24,323","8,742","10,976","2,234",25.6%,45,,,,,,,,
Harlem-148 St (3),,M,"4,017","3,899","4,074","3,707","1,528","1,691",163,10.6%,354,,,,,,,,
Houston St (1),,M,"15,333","15,283","15,698","15,685","4,702","4,802",100,2.1%,158,,,,,,,,
Inwood-207 St (A),,M,"9,350","9,217","8,793","9,615","3,796","4,208",412,10.9%,179,,,,,,,,
"Lexington Av (N,Q,R)/59 St (4,5,6)",,M,"67,684","58,467","55,608","54,907","20,228","23,695","3,466",17.1%,11,,,,,,,,
"Lexington Av-53 St (E,M)/51 St (6)",,M,"69,750","66,118","64,499","66,260","19,883","20,934","1,051",5.3%,12,,,,,,,,
"Lexington Av-63 St (F,Q)",,M,"16,988","20,893","21,394","21,574","7,968","9,988","2,020",25.3%,57,,,,,,,,
Marble Hill-225 St (1),,M,"5,636","5,473","5,433","5,075","2,401","2,677",275,11.5%,272,,,,,,,,
"Prince St (R,W)",,M,"15,424","14,400","14,408","12,827","3,501","4,790","1,289",36.8%,159,,,,,,,,
Rector St (1),,M,"9,788","9,453","9,005","8,471","2,311","2,676",365,15.8%,273,,,,,,,,
"Rector St (R,W)",,M,"6,524","7,092","7,185","6,926","2,036","2,187",151,7.4%,317,,,,,,,,
Roosevelt Island (F),,M,"6,630","7,354","7,153","7,489","2,771","3,637",866,31.3%,208,,,,,,,,
"South Ferry (1)/Whitehall St (R,W)",,M,"29,534","33,019","33,797","34,033","9,996","10,993",996,10.0%,44,,,,,,,,
Spring St (6),,M,"11,390","11,019","10,822","11,230","3,317","4,680","1,363",41.1%,165,,,,,,,,
"Spring St (C,E)",,M,"12,775","12,360","13,054","14,756","4,495","5,366",871,19.4%,135,,,,,,,,
"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",,M,"260,156","260,940","259,889","263,498","82,379","90,801","8,422",10.2%,1,,,,,,,,
"Wall St (2,3)",,M,"27,291","26,022","23,968","24,618","6,950","6,423",-527,-7.6%,104,,,,,,,,
"Wall St (4,5)",,M,"22,211","20,420","19,745","19,994","6,000","6,006",6,0.1%,114,,,,,,,,
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"42,755","41,835","40,666","41,938","13,278","16,668","3,390",25.5%,21,,,,,,,,
WTC Cortlandt (1) ,47,M,0,0,"3,558","13,871","3,687","3,773",86,2.3%,197,,,,,,,,
Queens,,,,,,,,,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,"20,282","20,101","19,682","19,943","10,299","12,487","2,188",21.2%,34,,,,,,,,
104 St (A),,Q,"2,189","1,900","1,841","1,823",817,918,101,12.4%,406,,,,,,,,
"104 St (J,Z)",48,Q,"2,758","1,727","1,587","2,727","1,178","1,459",281,23.9%,372,,,,,,,,
111 St (7),,Q,"11,421","11,384","11,091","11,280","5,857","7,333","1,476",25.2%,83,,,,,,,,
111 St (A),49,Q,"1,947","2,571","2,596","2,620","1,152","1,237",86,7.4%,394,,,,,,,,
111 St (J),50,Q,"2,607","3,235","2,819","1,169",968,"1,249",281,29.1%,393,,,,,,,,
"121 St (J,Z)",51,Q,"2,500","1,135","1,354","2,341","1,005","1,260",255,25.4%,389,,,,,,,,
169 St (F),,Q,"9,016","8,671","8,109","8,004","3,396","3,945",549,16.2%,188,,,,,,,,
21 St (G),,Q,"1,735","1,863","1,757","1,675",711,940,229,32.2%,404,,,,,,,,
21 St-Queensbridge (F),,Q,"9,779","10,209","10,840","11,184","4,372","4,835",464,10.6%,156,,,,,,,,
"30 Av (N,W)",52,Q,"14,739","11,381","8,286","17,906","5,579","6,408",829,14.9%,107,,,,,,,,
33 St-Rawson St (7),,Q,"13,302","12,429","11,029","10,574","3,433","3,684",250,7.3%,202,,,,,,,,
"36 Av (N,W)",53,Q,"7,347","5,525","5,073","6,602","2,672","3,090",417,15.6%,243,,,,,,,,
"36 St (M,R)",,Q,"4,776","4,786","5,177","4,725","1,619","1,796",178,11.0%,347,,,,,,,,
"39 Av (N,W)",54,Q,"3,207","3,267","2,356","2,555","1,230","1,353",122,9.9%,377,,,,,,,,
40 St-Lowery St (7),,Q,"11,089","10,624","9,954","10,028","3,960","4,868",908,22.9%,153,,,,,,,,
"46 St (M,R)",,Q,"9,362","9,049","8,752","8,556","3,376","4,044",667,19.8%,184,,,,,,,,
46 St-Bliss St (7),,Q,"14,335","13,614","12,828","12,702","5,521","6,724","1,204",21.8%,94,,,,,,,,
52 St (7),,Q,"6,795","6,495","6,001","6,079","2,661","3,305",645,24.2%,230,,,,,,,,
"63 Dr-Rego Park (M,R)",,Q,"16,868","16,323","15,574","15,567","6,330","7,436","1,106",17.5%,81,,,,,,,,
"65 St (M,R)",,Q,"3,747","3,621","3,601","3,554","1,480","1,840",360,24.3%,343,,,,,,,,
"67 Av (M,R)",,Q,"9,479","9,181","8,774","8,881","3,380","3,861",481,14.2%,191,,,,,,,,
69 St (7),,Q,"5,072","4,973","4,679","4,818","2,267","3,009",743,32.8%,248,,,,,,,,
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"52,296","52,018","51,766","52,159","22,913","28,560","5,647",24.6%,7,,,,,,,,
"75 Av (E,F)",,Q,"3,710","3,365","3,455","3,549","1,308","1,484",177,13.5%,369,,,,,,,,
"75 St-Elderts Ln (J,Z)",,Q,"3,837","3,641","3,464","3,573","1,661","2,052",391,23.5%,327,,,,,,,,
80 St (A),55,Q,"3,574","4,416","4,316","4,274","1,801","2,120",319,17.7%,321,,,,,,,,
82 St-Jackson Hts (7),,Q,"15,765","15,393","14,626","15,056","7,028","9,669","2,641",37.6%,59,,,,,,,,
85 St-Forest Pkwy (J),,Q,"3,968","3,923","3,699","3,669","1,747","2,090",343,19.6%,322,,,,,,,,
88 St (A),,Q,"3,221","2,965","2,835","2,860","1,274","1,408",133,10.5%,374,,,,,,,,
90 St-Elmhurst Av (7),,Q,"16,957","16,848","16,253","16,365","8,217","10,099","1,882",22.9%,54,,,,,,,,
Aqueduct Racetrack (A),,Q,"1,739","1,672","1,901","1,594",448,629,181,40.4%,414,,,,,,,,
Aqueduct-North Conduit Av (A),,Q,"1,125","1,031",921,893,359,419,60,16.6%,416,,,,,,,,
"Astoria Blvd (N,W)",56,Q,"12,358","13,103","14,425","2,410","3,324","4,876","1,551",46.7%,152,,,,,,,,
"Astoria-Ditmars Blvd (N,W)",,Q,"17,345","16,686","15,663","17,912","6,363","7,165",803,12.6%,86,,,,,,,,
"Beach 105 St (A,S)",,Q,289,278,261,243,103,114,11,10.8%,423,,,,,,,,
Beach 25 St (A),,Q,"1,968","1,925","1,792","1,720",832,865,33,3.9%,408,,,,,,,,
Beach 36 St (A),,Q,975,962,887,951,472,494,22,4.6%,415,,,,,,,,
Beach 44 St (A),,Q,676,690,693,699,347,354,7,1.9%,418,,,,,,,,
Beach 60 St (A),,Q,"2,507","2,319","2,013","2,008",980,978,-1,-0.1%,403,,,,,,,,
