,id,geom_id,lines,color_symbol,length,x,y,num
10,763,2000278,S,L,2385.99468058,-73.83564904332516 -73.8340505579003 -73.83402633345717 -73.83400733323538 -73.83395657143501 -73.83393557169225 -73.83389557183241 -73.83387457208036 -73.8338545727345 -73.83379899882708 -73.83377799918829 -73.83375404250259 -73.83358139000568 -73.83357040977015 -73.83355407044367 -73.83352734458896 -73.83351034537438 -73.83348520190758 -73.83346820255333 -73.83343415321652 -73.8334145554597 -73.8333975538691 -73.83330235323682 -73.830636096346 -73.83058231533252 -73.83053131717483 -73.83047931621113 -73.8304276631664 -73.83037731505166 -73.83032307411804 -73.83026850933248 -73.83021850891211 -73.8301682101975 -73.83011650833105 -73.83006433750512 -73.8300133387425 -73.82996260884599 -73.82991042936737 -73.82985878419989 -73.8295382830112 -73.82948171640983 -73.82942894621968 -73.82937819533876 -73.82932448941372 -73.82927285685538 -73.8292221800571 -73.82917229516967 -73.8291209671274 -73.82907029683233 -73.82902375188156 -73.82897461158034 -73.82892724832062 -73.82887990997854 -73.8288305058878 -73.82878415067464 -73.82761451224238 ,40.58102016819902 40.581467184940415 40.58147324020181 40.58147924086978 40.58149193156712 40.58149693155122 40.5815069316974 40.581511931670356 40.581516931285186 40.58153016337397 40.58153416284567 40.58153986723216 40.58157679277011 40.58157937758246 40.581582100515185 40.58158803948186 40.58159203839736 40.58159762664126 40.581602626934654 40.58161019241958 40.58161563739961 40.581619636294995 40.58164608171879 40.582389432033054 40.582404946240764 40.582419945825414 40.58243494480839 40.58245013789435 40.582464945657634 40.58248059234285 40.582497709982626 40.582513710485784 40.58252949169852 40.58254571207204 40.58256240540507 40.58257940572664 40.58259563827527 40.58261337973728 40.58263093916016 40.58274482902799 40.58276539773997 40.5827849418592 40.58280279866672 40.58282103828801 40.58283954842128 40.582856115717554 40.58287338387717 40.582889177509685 40.5829064048338 40.58292100783981 40.58293574924673 40.58295024833571 40.58296377307373 40.58297818263282 40.58299199066051 40.583326600571354 ,56
11,764,2000276,S,L,2162.89773325,-73.8205901409339 -73.81367312889553 ,40.58543251741375 40.5881595192261 ,2
12,765,2000210,B-D,B,2677.81414564,-73.94744464025028 -73.94474317457728 -73.94472363295323 -73.94470290507803 -73.94468160450936 -73.9446606383342 -73.94463874161156 -73.94461615714152 -73.94459431576881 -73.94457203248643 -73.94454853570596 -73.94452641932159 -73.94450284694304 -73.94447931885381 -73.94445554294346 -73.94443025394233 -73.94440290208655 -73.94402595206861 ,40.81783874271449 40.823639558533216 40.82367957530912 40.82371914126461 40.823758842015835 40.82379695985162 40.82383504121677 40.82387333746573 40.82391037247237 40.82394565219585 40.82398187775247 40.82401597339496 40.82404897422991 40.824082853965116 40.8241139456409 40.82414701587229 40.82418173211025 40.82470342757654 ,18
13,766,2000211,B-D,B,464.480022651,-73.94402379793196 -73.943957061491 -73.94321338433927 ,40.82470648641543 40.82480364630588 40.82582282996019 ,3
14,767,2000192,B-D-F-M,B,576.38360434,-74.00030695904226 -74.00028826474538 -73.99985301935625 -73.99971452925632 -73.99968549267092 -73.99964305028713 -73.99960688195398 -73.99954430911046 -73.99953136227725 -73.99950232414002 ,40.732256057553805 40.73228098186851 40.73287954541795 40.73306985044099 40.733120825428095 40.73323466843915 40.73334712287087 40.73355742819496 40.733650960312026 40.733698536731474 ,10
15,768,2000444,R,N,1152.89754733,-73.9821027992541 -73.98235248861931 -73.98250261292708 -73.98266427503424 -73.98283630997368 -73.9830190981561 -73.98319230215033 -73.9832719486712 -73.98338246809566 -73.98599702951806 ,40.69161922506988 40.69185432815298 40.69195978944512 40.692042625088014 40.69209175945065 40.69214089604347 40.69215853190205 40.69216577372556 40.692171137883825 40.692269195875845 ,10
16,769,2000448,N-Q-R,N,1274.36260676,-73.9821027992541 -73.98143141567358 -73.98117729974506 -73.98091212009179 -73.98058947635587 -73.98020051935917 -73.97982023975624 ,40.69161922506988 40.6901816628849 40.68984065576865 40.689537737954375 40.689217982846785 40.68890158064947 40.68865606165864 ,7
17,770,2000447,N-Q,N,883.816040553,-73.98210154113494 -73.98322553656733 ,40.69161674666225 40.69388674888207 ,2
18,771,2000470,N-R,N,1862.75927507,-73.97892994559895 -73.9783909870683 -73.97836313187639 -73.9783397907588 -73.97831781115443 -73.97829789066893 -73.97827931220313 -73.97826365552045 -73.9782485273155 -73.9782367347751 -73.97822589809992 -73.97821635042297 -73.9782094653814 -73.97820337395957 -73.9781999232709 -73.97819723482894 -73.97819655715332 -73.97851889050428 -73.97852613004811 -73.97853516818188 -73.9785468415384 -73.9785614685445 -73.97857992562889 -73.97860039692357 -73.97862449416478 -73.97864724763116 -73.97866892891344 -73.97870796496963 -73.97877303210451 -73.97888581293411 -73.97909835172788 -73.97925450738713 -73.97936728068825 ,40.683678167727 40.68467209465036 40.68471339778738 40.684751103313914 40.684788908148676 40.68482784351224 40.68486499971018 40.684902401396684 40.68494067127611 40.68497604573181 40.685014879240605 40.68505133563578 40.68508834184763 40.68512575794303 40.68516198856157 40.685200528241644 40.68522899065267 40.687426573876316 40.68747182783394 40.6875120797737 40.68755021869861 40.68758563051697 40.68762254330183 40.687657188965105 40.68769172543549 40.6877259896963 40.68776893110185 40.68781517699794 40.68786803565319 40.68796714080107 40.688188469980226 40.68833712708132 40.68846926168187 ,33
19,772,2000307,F,B,3501.40278932,-73.83112559956722 -73.82846054190293 -73.8283817304327 -73.82830093862742 -73.82822191175777 -73.82814087782576 -73.82805988417284 -73.82797524500864 -73.8278901186653 -73.82780517339994 -73.8277187943242 -73.82762972130693 -73.82754068357093 -73.82745195963255 -73.82736097431612 -73.82726713125795 -73.82717750297363 -73.82257081336513 -73.82241911238462 -73.8222751949062 -73.82214050207881 -73.8220110472325 -73.82188898216145 -73.82177392648586 -73.82166547696639 -73.82156337805226 -73.82146830204206 -73.8213808801106 -73.82129840461651 -73.82122247591356 -73.82115244472926 -73.82108947645092 -73.82102909767104 -73.82077163561405 ,40.71430241139703 40.71298989181478 40.71295206179686 40.71291581007072 40.71288034976987 40.712844897224414 40.7128094617915 40.712773335563945 40.712738464760164 40.712704082241736 40.712669530919776 40.712634720654066 40.71260094686167 40.71256805056955 40.71253329125944 40.71250029169294 40.71246848795399 40.710699761296624 40.710641036377694 40.71058099231729 40.710518827213384 40.71045268077865 40.71038507599455 40.710313984340964 40.71024106125716 40.71016495199437 40.710086489685935 40.71000551053468 40.709920254354884 40.7098332162618 40.709742913015575 40.70965031538994 40.709550640121385 40.709111561903654 ,34
